Year,Month,Day,Declination
1582,11,12,23.12
1582,12,30,26.93
1582,12,27,26.37
1583,1,18,27.30
1584,11,13,15.90
1584,11,27,14.70
1584,12,20,14.40
1584,12,21,14.36
1584,12,21,14.35
1585,1,7,15.58
1585,1,9,15.83
1585,1,14,16.45
1585,1,22,17.52
1585,1,31,18.72
1585,2,3,19.02
1585,2,3,19.05
1585,2,3,19.03
1585,2,4,19.16
1585,2,4,19.13
1585,2,4,19.16
1585,2,17,20.36
1585,2,17,20.36
1585,2,17,20.36
1585,3,12,20.55
1585,3,16,20.38
1585,3,19,20.09
1585,3,26,19.73
1585,4,15,17.64
1585,4,15,17.65
1585,4,26,16.14
1585,5,7,14.38
1585,5,7,14.37
1585,5,7,14.38
1585,5,12,13.50
1585,5,17,12.64
1585,5,18,12.45
1586,9,23,18.09
1586,9,24,17.94
1586,10,10,15.06
1586,10,10,15.06
1586,10,10,13.01
1586,10,10,13.01
1586,10,24,12.66
1586,10,25,12.49
1586,10,25,12.49
1586,10,25,12.49
1586,11,1,11.05
1586,11,2,11.05
1586,11,8,10.08
1586,11,10,9.54
1586,11,10,9.55
1586,11,11,9.43
1586,11,11,9.42
1586,11,23,7.33
1586,11,23,7.33
1586,11,23,7.33
1586,12,1,6.04
1586,12,1,6.04
1586,12,16,3.89
1586,12,16,3.90
1586,12,27,2.67
1586,12,27,2.67
1586,12,27,2.65
1586,12,27,2.66
1586,12,27,2.66
1587,1,1,2.19
1587,1,1,2.21
1587,1,9,1.66
1587,1,9,1.66
1587,1,10,1.58
1587,1,11,1.52
1587,1,11,1.52
1587,1,14,1.43
1587,1,14,1.43
1587,1,14,1.43
1587,1,14,1.43
1587,1,15,1.39
1587,1,15,1.38
1587,1,16,1.35
1587,1,26,1.28
1587,1,26,1.27
1587,1,26,1.28
1587,1,26,1.27
1587,1,28,1.32
1587,1,28,1.31
1587,1,28,1.32
1587,1,29,1.36
1587,1,29,1.36
1587,2,9,1.66
1587,2,9,1.66
1587,2,10,1.58
